filename,line_number,comment
spreed_repo\.eslintrc.js,6,// @nextcloud/webpack-vue-config globals
spreed_repo\.eslintrc.js,9,// Desktop build globals
spreed_repo\.eslintrc.js,21,// group all style imports at the end
spreed_repo\.eslintrc.js,28,// group material design icons
spreed_repo\.eslintrc.js,34,// group @nextcloud imports
spreed_repo\.eslintrc.js,40,// group @nextcloud/vue imports
spreed_repo\.eslintrc.js,46,// group project components
spreed_repo\jest.config.js,19,//www.gnu.org/licenses/>.
spreed_repo\jest.config.js,23,"// TODO: find a way to consolidate this in one place, with webpack.common.js"
spreed_repo\jest.config.js,56,// Allow tests in the src and in tests/unit folders
spreed_repo\jest.config.js,57,
spreed_repo\jest.config.js,68,
spreed_repo\jest.config.js,83,// process `*.js` files with `babel-jest`
spreed_repo\webpack.common.config.js,19,//www.gnu.org/licenses/>.
spreed_repo\webpack.common.config.js,26,// Edit JS rule
spreed_repo\webpack.common.config.js,44,// Reuse @nextcloud/webpack-vue-config/rules
spreed_repo\webpack.config.js,10,// Rules from @nextcloud/webpack-vue-config/rules already added by commonWebpackConfig
spreed_repo\appinfo\routes.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesAvatarController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesAvatarController.php,33,
spreed_repo\appinfo\routes\routesAvatarController.php,35,
spreed_repo\appinfo\routes\routesAvatarController.php,37,
spreed_repo\appinfo\routes\routesAvatarController.php,39,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,33,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,35,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,37,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,39,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,41,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,43,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,45,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,47,
spreed_repo\appinfo\routes\routesBreakoutRoomController.php,49,
spreed_repo\appinfo\routes\routesCallController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesCallController.php,33,
spreed_repo\appinfo\routes\routesCallController.php,35,
spreed_repo\appinfo\routes\routesCallController.php,37,
spreed_repo\appinfo\routes\routesCallController.php,39,
spreed_repo\appinfo\routes\routesCallController.php,41,
spreed_repo\appinfo\routes\routesChatController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesChatController.php,39,
spreed_repo\appinfo\routes\routesChatController.php,41,
spreed_repo\appinfo\routes\routesChatController.php,43,
spreed_repo\appinfo\routes\routesChatController.php,45,
spreed_repo\appinfo\routes\routesChatController.php,47,
spreed_repo\appinfo\routes\routesChatController.php,49,
spreed_repo\appinfo\routes\routesChatController.php,51,
spreed_repo\appinfo\routes\routesChatController.php,53,
spreed_repo\appinfo\routes\routesChatController.php,55,
spreed_repo\appinfo\routes\routesChatController.php,57,
spreed_repo\appinfo\routes\routesChatController.php,59,
spreed_repo\appinfo\routes\routesCommandController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesCommandController.php,32,
spreed_repo\appinfo\routes\routesFederationController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesFederationController.php,32,
spreed_repo\appinfo\routes\routesFederationController.php,34,
spreed_repo\appinfo\routes\routesFederationController.php,36,
spreed_repo\appinfo\routes\routesFilesIntegrationController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesFilesIntegrationController.php,37,
spreed_repo\appinfo\routes\routesFilesIntegrationController.php,39,
spreed_repo\appinfo\routes\routesGuestController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesGuestController.php,33,
spreed_repo\appinfo\routes\routesHostedSignalingServerController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesHostedSignalingServerController.php,32,
spreed_repo\appinfo\routes\routesHostedSignalingServerController.php,34,
spreed_repo\appinfo\routes\routesHostedSignalingServerController.php,36,
spreed_repo\appinfo\routes\routesMatterbridgeController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesMatterbridgeController.php,33,
spreed_repo\appinfo\routes\routesMatterbridgeController.php,35,
spreed_repo\appinfo\routes\routesMatterbridgeController.php,37,
spreed_repo\appinfo\routes\routesMatterbridgeController.php,39,
spreed_repo\appinfo\routes\routesMatterbridgeSettingsController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesMatterbridgeSettingsController.php,32,
spreed_repo\appinfo\routes\routesMatterbridgeSettingsController.php,34,
spreed_repo\appinfo\routes\routesPageController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesPageController.php,32,
spreed_repo\appinfo\routes\routesPageController.php,34,
spreed_repo\appinfo\routes\routesPageController.php,36,
spreed_repo\appinfo\routes\routesPageController.php,38,
spreed_repo\appinfo\routes\routesPageController.php,40,
spreed_repo\appinfo\routes\routesPageController.php,42,
spreed_repo\appinfo\routes\routesPollController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesPollController.php,39,
spreed_repo\appinfo\routes\routesPollController.php,41,
spreed_repo\appinfo\routes\routesPollController.php,43,
spreed_repo\appinfo\routes\routesPollController.php,45,
spreed_repo\appinfo\routes\routesPublicShareAuthController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesPublicShareAuthController.php,32,
spreed_repo\appinfo\routes\routesReactionController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesReactionController.php,34,
spreed_repo\appinfo\routes\routesReactionController.php,36,
spreed_repo\appinfo\routes\routesReactionController.php,38,
spreed_repo\appinfo\routes\routesRecordingController.php,22,//www.gnu.org/licenses/>.
spreed_repo\appinfo\routes\routesRecordingController.php,33,
spreed_repo\appinfo\routes\routesRecordingController.php,37,
spreed_repo\appinfo\routes\routesRecordingController.php,39,
spreed_repo\appinfo\routes\routesRecordingController.php,41,
spreed_repo\appinfo\routes\routesRecordingController.php,43,
spreed_repo\appinfo\routes\routesRecordingController.php,45,
spreed_repo\appinfo\routes\routesRecordingController.php,47,
spreed_repo\appinfo\routes\routesRoomController.php,22,//www.gnu.org/licenses/>.
